Id,Estado,Anio,DIA_ING_MU_20_59,DIA_ING_MU_60_MAS,DIA_ING_HO_20_59,DIA_ING_HO_60_MAS,DIA_TRA_MU_20_59,DIA_TRA_MU_60_MAS,DIA_TRA_HO_20_59,DIA_TRA_HO_60_MAS,DIA_CON_MU_20_59,DIA_CON_MU_60_MAS,DIA_CON_HO_20_59,DIA_CON_MU_60_MAS,OBE_ING_MU_20_59,OBE_ING_MU_60_MAS,OBE_ING_HO_20_59,OBE_ING_HO_60_MAS,OBE_TRA_MU_20_59,OBE_TRA_MU_60_MAS,OBE_TRA_HO_20_59,OBE_TRA_HO_60_MAS,OBE_CON_MU_20_59,OBE_CON_MU_60_MAS,OBE_CON_HO_20_59,OBE_CON_MU_60_MAS
18,Nayarit,2012,385,165,237,126,33518,21361,15718,13517,10099,7234,4808,4237,601,233,292,233,22272,9497,7255,9497,3224,1464,1217,819
19,Nuevo Leon,2012,1500,361,857,271,92554,53865,41104,27483,55640,32805,23853,15632,1929,416,660,416,50155,17919,17537,17919,26855,9108,9043,4223
20,Oaxaca,2012,2114,667,1068,416,159407,79946,64970,38084,53546,29741,22581,13795,1678,328,626,328,84197,20858,24628,20858,9404,2428,2690,844
21,Puebla,2012,2519,905,1246,467,188872,119622,77676,50610,81922,55898,34978,25221,2530,922,1092,922,76294,30261,25996,30261,18488,5783,4982,2495
22,Queretaro,2012,1021,349,655,220,73304,41194,36950,18117,30402,17803,13503,7226,1129,382,398,382,59946,25528,18524,25528,14918,6937,4061,2228
23,Quintana Roo,2012,745,185,446,134,44812,18637,15718,9007,14688,6982,5157,3180,779,121,344,121,36371,10192,11080,10192,9789,3071,2835,1476
24,San Luis Potosi,2012,1673,610,949,426,133244,72630,53657,35979,67799,40444,27069,19383,2025,296,789,296,133647,40804,49324,40804,57643,18587,21983,7901
25,Sinaloa,2012,2791,1291,1613,918,89245,59406,45477,40010,32181,22164,14701,13692,27554,3657,8951,3657,337014,54313,101705,54313,49596,9201,11263,4614
26,Sonora,2012,1405,412,680,313,62700,34086,25468,19975,25042,13283,8730,7285,2330,463,719,463,57296,16906,15716,16906,14586,4889,3747,2300
27,Tabasco,2012,1624,370,777,201,155000,61578,59669,29169,79057,30027,29462,14710,1909,303,874,303,72654,17729,29845,17729,24207,6270,10062,3100
28,Tamaulipas,2012,2209,799,1159,461,119685,60772,52338,34025,68259,35947,28876,19614,4392,793,1686,793,103646,38801,36232,38801,54934,18221,17824,9578
29,Tlaxcala,2012,614,180,362,109,63239,39438,31700,21356,31130,21614,15096,11689,563,113,292,113,71565,25805,28484,25805,27828,11511,12091,5480
30,Veracruz,2012,3986,1246,1697,678,334334,175665,109069,72334,95925,59341,33793,24845,2050,814,657,814,132606,49656,38007,49656,14981,6826,4821,2803
31,Yucatan,2012,503,132,259,102,75178,40173,25573,15733,28015,17645,10008,7144,1081,279,443,279,78960,26180,25595,26180,21272,7537,6005,3755
32,Zacatecas,2012,860,385,460,267,61869,44854,27681,24874,26322,20232,10873,11025,1452,402,496,402,86587,39970,25189,39970,23277,12496,7597,5250
1,Aguascalientes,2013,570,203,360,102,31920,15133,16102,8364,11381,6299,5399,3191,1234,241,422,241,37248,12884,10630,12884,8914,4074,2744,1504
2,Baja California,2013,1572,589,1091,476,56527,26948,35930,19470,18355,9815,10888,6916,1704,314,657,314,46003,13412,15174,13412,12447,4075,3953,1858
3,Baja California Sur,2013,344,52,248,67,14145,5471,9132,4531,5293,2531,3095,1770,592,81,256,81,19515,5768,7053,5768,5439,2116,1892,1262
4,Campeche,2013,439,140,235,78,38982,15978,13586,7418,16397,6947,5657,3457,479,100,228,100,26765,9484,10108,9484,8908,2764,3770,1587
5,Chiapas,2013,2853,1056,1200,585,127276,62518,42771,25513,42183,21402,14679,8661,2077,351,714,351,79488,15767,22775,15767,13854,2744,4065,1133
6,Chihuahua,2013,1679,672,1044,534,100919,57878,48716,33462,41766,26093,19523,15080,2129,648,730,648,113464,40933,32808,40933,29945,11149,8868,5470
7,Ciudad De Mexico,2013,4214,2125,3147,1368,224750,139980,117622,70359,87446,65271,46944,30520,5608,1020,1965,1020,183690,57876,58455,57876,35667,16237,14993,6610
